Nama Tempat,Alamat,No Telepon,Rating,Ulasan Singkat,URL
Boncafe - Pregolan,"Jl. Pregolan No.2, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262",(031) 5343018,"4,7","Kesini lagi setelah 6 tahun, karena emang bukan asli orang Surabaya. Waktu itu datang 1.5jam sebelum restonya tutup, dateng berlima, disambut dengan ramah dan menyenangkan sekali. …",https://www.google.com/maps/place/Boncafe+-+Pregolan/data=!4m7!3m6!1s0x2dd7fbdff0da1b6b:0x8445a0ff1627a868!8m2!3d-7.2661868!4d112.7397954!16s%2Fg%2F1tfvw7xk!19sChIJaxva8N_71y0RaKgnFv-gRYQ?authuser=0&hl=id&rclk=1
JALOE RESTO - UG FLOOR BEKIZAAR HOTEL SURABAYA,"Jl. Basuki Rahmat No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",(031) 5312296,"4,7","Staf hotel sangat ramah dan proaktif membantu tamu. Lokasi yg dekat dg pusat perbelanjaan besar cukup strategis (depan TP persis). Kl malam bisa jalan2 ke jl Tunjungan, ya bener cukup jalan kaki ya gaes kl pingin sehat. …",https://www.google.com/maps/place/JALOE+RESTO+-+UG+FLOOR+BEKIZAAR+HOTEL+SURABAYA/data=!4m7!3m6!1s0x2dd7f960e53d885d:0x51cd82d96ef8896!8m2!3d-7.2637591!4d112.7414073!16s%2Fg%2F11dfjyfmm9!19sChIJXYg95WD51y0Rlojvli3YHAU?authuser=0&hl=id&rclk=1
Soto Ayam Lamongan CAK HAR,"Jl. Dr. Ir. H. Soekarno No.220, Semolowaru, Kec. Sukolilo, Surabaya, Jawa Timur 60117",0812-2682-1851,"4,5","Review: Soto Ayam Cak Har – Cabang MERR Surabaya  Sudah sering banget mampir malam-malam ke sini, tapi baru kali ini sempat buat …",https://www.google.com/maps/place/Soto+Ayam+Lamongan+CAK+HAR/data=!4m7!3m6!1s0x2dd7fa5caf3a40dd:0xaab82c00cb0d97d7!8m2!3d-7.2957171!4d112.7813592!16s%2Fg%2F11b6v0lymf!19sChIJ3UA6r1z61y0R15cNywAsuKo?authuser=0&hl=id&rclk=1
Makan Time's - Next Level,"Jl. Pregolan No.1,3,5, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60271",Tidak diketahui,"4,6","Makanan enak, harga pas, live music bagus.",https://www.google.com/maps/place/Makan+Time%27s+-+Next+Level/data=!4m7!3m6!1s0x2dd7f90e51ecfcb3:0xe2f29215d318cc7e!8m2!3d-7.2664282!4d112.7403632!16s%2Fg%2F11f9j8j6qr!19sChIJs_zsUQ751y0RfswY0xWS8uI?authuser=0&hl=id&rclk=1
Warung Kongde Mbak May,"PPXP+FHX, Jl. Bubutan II, Alun-alun Contong, Kec. Bubutan, Surabaya, Jawa Timur 60174",0857-5545-4102,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/Warung+Kongde+Mbak+May/data=!4m7!3m6!1s0x2dd7f9419bed8f2d:0x22366c9d09ffdbec!8m2!3d-7.2512658!4d112.7364891!16s%2Fg%2F11c2l9mmzf!19sChIJLY_tm0H51y0R7Nv_CZ1sNiI?authuser=0&hl=id&rclk=1
Kahyangan Resto,"Jl. Puri Widya Kencana LL, RW.05, Lidah Kulon, Kec. Lakarsantri, Surabaya, Jawa Timur 60213",(031) 7411999,"4,7",Tempatnya nyaman. Banyak pilihan tempat duduk indoor dan outdoor. Pelayanan ramah dan cepat. …,https://www.google.com/maps/place/Kahyangan+Resto/data=!4m7!3m6!1s0x2dd7fdb810b4e1d3:0x656c90b84eb5f01f!8m2!3d-7.2926497!4d112.6545787!16s%2Fg%2F1hhnf_gmx!19sChIJ0-G0ELj91y0RH_C1TriQbGU?authuser=0&hl=id&rclk=1
Bodaeng Thai - Embong Kenongo,"Jl. Embong Kenongo No.62, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",(031) 5483565,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/Bodaeng+Thai+-+Embong+Kenongo/data=!4m7!3m6!1s0x2dd7fbd870cf3795:0xfc215bcdb6ad29a5!8m2!3d-7.2669968!4d112.7488044!16s%2Fg%2F12ml2mwr8!19sChIJlTfPcNj71y0RpSmtts1bIfw?authuser=0&hl=id&rclk=1
Coto Daeng Surabaya,"Jl. Genteng Kali No.39, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",0813-3265-5566,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Coto+Daeng+Surabaya/data=!4m7!3m6!1s0x2dd7f96618c33cf3:0xb4e68924cc2d5e2c!8m2!3d-7.256781!4d112.7431299!16s%2Fg%2F11bxg9l8bg!19sChIJ8zzDGGb51y0RLF4tzCSJ5rQ?authuser=0&hl=id&rclk=1
Warung NOW,"Jl. Jimerto Blok II No.12, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0811-360-630,"4,8",Tidak ada ulasan teks,https://www.google.com/maps/place/Warung+NOW/data=!4m7!3m6!1s0x2dd7f9650fb0f459:0x8ac0313d2d88db48!8m2!3d-7.2583138!4d112.7486017!16s%2Fg%2F11g9jgv5_x!19sChIJWfSwD2X51y0RSNuILT0xwIo?authuser=0&hl=id&rclk=1
Alltime Buns - Tunjungan,"Jl. Tunjungan No.30, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",0821-8888-9262,"4,7",Tidak ada ulasan teks,https://www.google.com/maps/place/Alltime+Buns+-+Tunjungan/data=!4m7!3m6!1s0x2dd7f9f9328ee46f:0x91b94ddb5165338d!8m2!3d-7.2576854!4d112.7377899!16s%2Fg%2F11szdt63mw!19sChIJb-SOMvn51y0RjTNlUdtNuZE?authuser=0&hl=id&rclk=1
Penyetan Cok - Grand City Mall,"Jl. Kusuma Bangsa No.41, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0831-1918-2342,"4,8",Tidak ada ulasan teks,https://www.google.com/maps/place/Penyetan+Cok+-+Grand+City+Mall/data=!4m7!3m6!1s0x2dd7f9c9cd9fa19b:0x753fd8567cb8d89c!8m2!3d-7.2615853!4d112.7506078!16s%2Fg%2F11h7s16dxc!19sChIJm6Gfzcn51y0RnNi4fFbYP3U?authuser=0&hl=id&rclk=1
Tang Palace Authentic,"JW Marriott, Jl. Embong Malang No.85 - 89, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",(031) 545888,"4,8","Chinese resto ini berlokasi di dalam Hotel JW Marriott Surabaya. Cocok untuk keluarga, meeting bisnis atau untuk merayakan special occassion …",https://www.google.com/maps/place/Tang+Palace+Authentic/data=!4m7!3m6!1s0x2dd7f95cf03853e1:0x6619175e17fa79ab!8m2!3d-7.2597421!4d112.7346725!16s%2Fg%2F11b6dgs6qx!19sChIJ4VM48Fz51y0Rq3n6F14XGWY?authuser=0&hl=id&rclk=1
Mie Mapan Plaza Surabaya,"Plaza Surabaya, Plaza Surabaya Lt.1, Rest. C No. 1, Jalan Pemuda, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0812-1639-5858,"4,8",Tidak ada ulasan teks,https://www.google.com/maps/place/Mie+Mapan+Plaza+Surabaya/data=!4m7!3m6!1s0x2dd7f962f0f42f3b:0x1c99ddfc0415b357!8m2!3d-7.2648177!4d112.7485308!16s%2Fg%2F11f372tmmr!19sChIJOy_08GL51y0RV7MVBPzdmRw?authuser=0&hl=id&rclk=1
KEBON KOTA TROPICAL GARDEN RESTAURANT & HALL,"Jl. Raya Menganti No.112, Jajar Tunggal, Kec. Wiyung, Surabaya, Jawa Timur 60229",0812-3330-8808,"4,3",Tidak ada ulasan teks,https://www.google.com/maps/place/KEBON+KOTA+TROPICAL+GARDEN+RESTAURANT+%26+HALL/data=!4m7!3m6!1s0x2dd7feb5c0be9709:0x82bc9a88a308143c!8m2!3d-7.3126739!4d112.7048741!16s%2Fg%2F1hm3k2g3r!19sChIJCZe-wLX-1y0RPBQIo4iavII?authuser=0&hl=id&rclk=1
Bebek Semangat - Plaza Surabaya,"Plaza Surabaya, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0857-0849-0633,"5,0",Tidak ada ulasan teks,https://www.google.com/maps/place/Bebek+Semangat+-+Plaza+Surabaya/data=!4m7!3m6!1s0x2dd7f9003f1f6dcd:0xee8b6bc719203045!8m2!3d-7.2648774!4d112.7485448!16s%2Fg%2F11wtp2k68n!19sChIJzW0fPwD51y0RRTAgGcdri-4?authuser=0&hl=id&rclk=1
Ayam Goreng Djakarta,"Jl. Kusuma Bangsa No.40, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0822-3646-3737,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Ayam+Goreng+Djakarta/data=!4m7!3m6!1s0x2dd7f97ad47acb37:0xed67a5f4ff6e4701!8m2!3d-7.2586579!4d112.7512544!16s%2Fg%2F1pzps85vk!19sChIJN8t61Hr51y0RAUdu__SlZ-0?authuser=0&hl=id&rclk=1
Nasi Pecel Ambulance Bu Hana,"Jl. Kranggan No.16, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251",0823-3296-4480,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Nasi+Pecel+Ambulance+Bu+Hana/data=!4m7!3m6!1s0x2dd7f9d2d7cd895d:0xa0c80699f42b2a12!8m2!3d-7.255563!4d112.73269!16s%2Fg%2F11f61wfwgk!19sChIJXYnN19L51y0REior9JkGyKA?authuser=0&hl=id&rclk=1
"Tahu Telor ""Pak Jayen""","Jl. Dharmahusada No.112, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60115",Tidak diketahui,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Tahu+Telor+%22Pak+Jayen%22/data=!4m7!3m6!1s0x2dd7fa26a4e4a3bb:0x38c78b93767f0438!8m2!3d-7.2667807!4d112.7680509!16s%2Fg%2F1pzwmdg52!19sChIJu6PkpCb61y0ROAR_dpOLxzg?authuser=0&hl=id&rclk=1
Imari Japanese Restaurant at JW Marriott Surabaya,"JW Marriott Hotel, Jl. Embong Malang No.85-89, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261",(031) 545888,"4,6",tujuan makan di hotel bintang 5 seharusnya mendapatkan:  1. food and beverage yang luar biasa …,https://www.google.com/maps/place/Imari+Japanese+Restaurant+at+JW+Marriott+Surabaya/data=!4m7!3m6!1s0x2dd7f95cf3c44ec7:0xb9d003f8e5afe15d!8m2!3d-7.259647!4d112.734734!16s%2Fg%2F11cfhh5c7!19sChIJx07E81z51y0RXeGv5fgD0Lk?authuser=0&hl=id&rclk=1
Restaurant Gaoji Chuan Shao,"Ruko Graha Plaza Famili No. B31, Pradahkalikendal, Kec. Dukuhpakis, Surabaya, Jawa Timur 60226",0857-8455-7001,"4,4","Sayang sekali Guo Bao Rou nya terlalu bertepung. Mala Beef Hot Pot nya sih cukup enak. Porsi cukup banyak, bisa buat sekitar 4 orang (cewek?). Nasinya juga buanyak.. bisa 1 buat berdua kalo yg gak makan nasi banyak. Teh tawar + Es, FREE!!",https://www.google.com/maps/place/Restaurant+Gaoji+Chuan+Shao/data=!4m7!3m6!1s0x2dd7fc484d7839ad:0x616adf3d9f5471e7!8m2!3d-7.2923825!4d112.6766567!16s%2Fg%2F11ggr0c08b!19sChIJrTl4TUj81y0R53FUnz3famE?authuser=0&hl=id&rclk=1
Kopitiam Shantui,"Jl. Embong Kemiri No.20, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60217",Tidak diketahui,"4,8",Tidak ada ulasan teks,https://www.google.com/maps/place/Kopitiam+Shantui/data=!4m7!3m6!1s0x2dd7fbaae49a5d2f:0xa314a9a72e7a582e!8m2!3d-7.2697288!4d112.7456916!16s%2Fg%2F11vzw4pdnb!19sChIJL12a5Kr71y0RLlh6LqepFKM?authuser=0&hl=id&rclk=1
Suteki Sushi - Plaza Surabaya,"Plaza Surabaya, Jl. Pemuda Sebelah Musholla No.34162 Lantai 4, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0857-6606-1629,"4,9","Pelayanannya Baik sangat ramah sekali, promonya banyak Sushinya enak2 Pokoknya di jamin puas makan sushi di suteki 😘 …",https://www.google.com/maps/place/Suteki+Sushi+-+Plaza+Surabaya/data=!4m7!3m6!1s0x2dd7f900510f89f9:0x9ba5546d3cecb937!8m2!3d-7.2646188!4d112.7488735!16s%2Fg%2F11xvlq3yry!19sChIJ-YkPUQD51y0RN7nsPG1UpZs?authuser=0&hl=id&rclk=1
Depot Ampel - Walikota Mustajab,"Jl. Walikota Mustajab No.33B, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",(031) 5466462,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Depot+Ampel+-+Walikota+Mustajab/data=!4m7!3m6!1s0x2dd7f9669dd3c591:0x616bcf6a4c9ce9a6!8m2!3d-7.2600771!4d112.7449758!16s%2Fg%2F1hm5q15bm!19sChIJkcXTnWb51y0RpumcTGrPa2E?authuser=0&hl=id&rclk=1
Kepiting Cak Gundul 1992,"Jl. Raya Kupang Indah No.45 C, Sonokwijenan, Kec. Sukomanunggal, Surabaya, Jawa Timur 60225",(031) 7327554,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Kepiting+Cak+Gundul+1992/data=!4m7!3m6!1s0x2dd7fc05f3af1693:0xbcfb91ff145d29b2!8m2!3d-7.2783067!4d112.7078103!16s%2Fg%2F1hm58bbdk!19sChIJkxav8wX81y0RsildFP-R-7w?authuser=0&hl=id&rclk=1
Makan Kitchen Surabaya,"Jl. Tunjungan No.12, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",0811-3200-5300,"4,7",Tidak ada ulasan teks,https://www.google.com/maps/place/Makan+Kitchen+Surabaya/data=!4m7!3m6!1s0x2dd7f90ad1df2373:0x25deb57115e7d4f6!8m2!3d-7.2569375!4d112.7365341!16s%2Fg%2F11n0rt2d9n!19sChIJcyPf0Qr51y0R9tTnFXG13iU?authuser=0&hl=id&rclk=1
Warung Djuragan,"Jl. Gubeng Pojok, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",Tidak diketahui,"4,2","semuanya sempurna, kecuali kerupuknya kayak dah kadaluwarsa.. gak terlalu renyah dan ada bau apeknya.. dan andaikata telur setengah matengnya ditambah garam/lada sedikit biar gak …",https://www.google.com/maps/place/Warung+Djuragan/data=!4m7!3m6!1s0x2dd7f96028404181:0x1f51c6b0fa36cbdb!8m2!3d-7.2639953!4d112.7517225!16s%2Fg%2F11jszswg7h!19sChIJgUFAKGD51y0R28s2-rDGUR8?authuser=0&hl=id&rclk=1
"Spesial Soto Boyolali (SSB) Hj. Hesti Widodo, Surabaya","Jl. Slamet No.31, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0811-2650-705,"4,7",Tidak ada ulasan teks,"https://www.google.com/maps/place/Spesial+Soto+Boyolali+%28SSB%29+Hj.+Hesti+Widodo,+Surabaya/data=!4m7!3m6!1s0x2dd7f9bd12e86f55:0xf4088ba0da6ad824!8m2!3d-7.2594392!4d112.7497561!16s%2Fg%2F11q9519xpt!19sChIJVW_oEr351y0RJNhq2qCLCPQ?authuser=0&hl=id&rclk=1"
Nasi Cumi Pasar Atom Ibu Atun,"Jl. Waspada No.30, Bongkaran, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60161",0812-3313-5455,"4,1",Tidak ada ulasan teks,https://www.google.com/maps/place/Nasi+Cumi+Pasar+Atom+Ibu+Atun/data=!4m7!3m6!1s0x2dd7f916c0386219:0x6208b23019ab88c5!8m2!3d-7.2406074!4d112.7436269!16s%2Fg%2F11b6d75vkh!19sChIJGWI4wBb51y0RxYirGTCyCGI?authuser=0&hl=id&rclk=1
Warung Taburai - Surabaya Mulyosari,"PQPW+49P, Jl. Raya Mulyosari No.101, Kalisari, Kec. Mulyorejo, Surabaya, Jawa Timur 60112",0851-3478-4321,"4,7",Tidak ada ulasan teks,https://www.google.com/maps/place/Warung+Taburai+-+Surabaya+Mulyosari/data=!4m7!3m6!1s0x2dd7fb7a0ff110bb:0x9ac9e3a2845f194!8m2!3d-7.264601!4d112.7959913!16s%2Fg%2F11xh1vb515!19sChIJuxDxD3r71y0RlPFFKDqerAk?authuser=0&hl=id&rclk=1
Rumah Makan Layar Seafood Manyar,"Jl. Manyar Kertoarjo No.23 - 25, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",(031) 5947666,"4,7","Restoran seafood dengan kualitas tempat yang sangat baik. Makanannya juga cukup enak dengan porsi yang pas. Harganya sangat worth it bila ditinjau dari sisi kualitas tempat, kualitas makanan, dan porsi makanan. Sangat cocok untuk yang …",https://www.google.com/maps/place/Rumah+Makan+Layar+Seafood+Manyar/data=!4m7!3m6!1s0x2dd7fbd2330b9919:0x9b82ea9e3b785a9a!8m2!3d-7.2796!4d112.766604!16s%2Fg%2F11rfcvqdl3!19sChIJGZkLM9L71y0Rmlp4O57qgps?authuser=0&hl=id&rclk=1
Pecel Ponorogo Hj. Boeyatin,"PPQX+92X, Jl. Ketabang Kali, Ketabang, Kec. Genteng, Surabaya, Jawa Timur 60272",0812-3150-667,"4,3",Tidak ada ulasan teks,https://www.google.com/maps/place/Pecel+Ponorogo+Hj.+Boeyatin/data=!4m7!3m6!1s0x2dd7f964806dce51:0x645d48df3234c09d!8m2!3d-7.2615223!4d112.7476246!16s%2Fg%2F11bx43h2wn!19sChIJUc5tgGT51y0RncA0Mt9IXWQ?authuser=0&hl=id&rclk=1
Kayanna Restaurant,"Jl. Dr. Soetomo No.50-52, DR. Soetomo, Kec. Tegalsari, Surabaya, Jawa Timur 60264",(031) 5677270,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Kayanna+Restaurant/data=!4m7!3m6!1s0x2dd7fbe9e37e81b5:0xa250c4c9d19b4986!8m2!3d-7.2815566!4d112.7392273!16s%2Fg%2F11gbf63r7d!19sChIJtYF-4-n71y0Rhkmb0cnEUKI?authuser=0&hl=id&rclk=1
Rawon Kalkulator,"Sentra PKL Tamam Bungkul, Jl. Raya Darmo, Darmo, Kec. Wonokromo, Surabaya, Jawa Timur 60241",(031) 5661784,"4,4","Tempatnya tidak terlalu besar & sepertinya selalu rame pengunjung. Untuk menu ada rawon & soto. Untuk rawon, dagingnya lembut, dan rasanya juga enak. Untuk pelayanan tidak ada yang istimewa, tapi tidak jelek juga, lumayan gercep. Untuk harga juga masih terjangkau. Boleh dicoba untuk yang lagi berkunjung ke Surabaya 😁👍🏻🙏🏻 …",https://www.google.com/maps/place/Rawon+Kalkulator/data=!4m7!3m6!1s0x2dd7fbbe23d5a7e1:0xd3486fa5af94b650!8m2!3d-7.2918496!4d112.7401047!16s%2Fg%2F1pzrq3qkb!19sChIJ4afVI7771y0RULaUr6VvSNM?authuser=0&hl=id&rclk=1
Yaman Kuliner,"Jl. KH Mas Mansyur No.92, Ampel, Kec. Semampir, Surabaya, Jawa Timur 60162",(031) 3521775,"4,4",Pesan Nasi Biryani Sapi nunggu ada hampir 30 menit. Nasi lembek dan dingin. Tidak disajikan dalam kondisi panas. Rasa Nasi Biryani juga aneh. Tidak seperti Nasi Biryani yang biasa saya makan. Daging ada 3 potong. Alotnya setengah mati. …,https://www.google.com/maps/place/Yaman+Kuliner/data=!4m7!3m6!1s0x2dd7f918c5ec78d7:0x64f41ceaab433fa8!8m2!3d-7.232525!4d112.741133!16s%2Fg%2F1hm3h2ztm!19sChIJ13jsxRj51y0RqD9Dq-oc9GQ?authuser=0&hl=id&rclk=1
Depot Sederhana Gubeng Pojok,"Jl. Stasiun Gubeng No.1A, Pacar Keling, Kec. Genteng, Surabaya, Jawa Timur 60272",0821-3171-9002,"4,6",Baru coba nasi campur dan mie goreng .enak..rasa masakan jawa yg medok dan miroso .menunya simpel rasanya kaya enak murah  dan nampol..seeprti khas warung jadul yg bikin kenangan.Yng berkunjung banyak orang sepuh.. seperti nya sudah langganan,https://www.google.com/maps/place/Depot+Sederhana+Gubeng+Pojok/data=!4m7!3m6!1s0x2dd7f963d2d4fb4d:0xc8bf1c2a9ed2f725!8m2!3d-7.2664351!4d112.7518896!16s%2Fg%2F11b6br_w71!19sChIJTfvU0mP51y0RJffSniocv8g?authuser=0&hl=id&rclk=1
